[00:00:18] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-54.92, -0.22, -38.82)" , ""
[00:00:19] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-12.32, 1.88, -34.19)" , ""
[00:00:20] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:20] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:20] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:20] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:20] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:20] , "Team 2" , "0" , "Ana" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:20] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-46.45, -0.14, -33.80)" , ""
[00:00:20] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-44.77, -0.13, -32.54)" , ""
[00:00:20] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-47.49, -0.10, -35.54)" , ""
[00:00:20] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(-45.60, -0.16, -30.23)" , ""
[00:00:20] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-48.07, -0.16, -31.97)" , ""
[00:00:20] , "Team 2" , "5" , "Torbjörn" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 2" , "4" , "Mei" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 2" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 2" , "0" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 1" , "5" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 1" , "4" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 1" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 1" , "2" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 1" , "1" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:21] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-6.54, 0.37, -28.41)" , ""
[00:00:22] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:22] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:22] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:22] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:22] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:22] , "Team 2" , "0" , "Ana" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:22] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-39.08, 0.06, -27.89)" , ""
[00:00:22] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-36.75, -0.13, -27.00)" , ""
[00:00:22] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-41.03, 0.06, -29.11)" , ""
[00:00:22] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(-36.79, -0.13, -26.06)" , ""
[00:00:22] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-40.27, -0.13, -27.37)" , ""
[00:00:22] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:23] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(0.55, 0.83, -30.78)" , ""
[00:00:24] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:24] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:24] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:24] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:24] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:24] , "Team 2" , "0" , "Ana" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:24] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-29.48, -0.10, -25.84)" , ""
[00:00:24] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-27.64, -0.11, -27.17)" , ""
[00:00:24] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-36.89, -0.14, -24.85)" , ""
[00:00:24] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(-27.93, -0.10, -24.03)" , ""
[00:00:24] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-30.83, -0.12, -25.96)" , ""
[00:00:25] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(6.61, 1.09, -26.06)" , ""
[00:00:25] , "Team 2" , "5" , "Torbjörn" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 2" , "4" , "Mei" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 2" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 2" , "0" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 1" , "5" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 1" , "4" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 1" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 1" , "2" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
