[00:00:16] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:16] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:16] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:16] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:16] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:16] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:17] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:17] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:17] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:17] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:17] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:18] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:18] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:18] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:18] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:18] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:19] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:19] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:19] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:19] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:19] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:20] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:20] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:20] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:20] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:20] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:21] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:21] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:21] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:21] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:21] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:21] , "Team 1" , "0" , "NELS" , "EV_SwitchedHero" , "Soldier: 76" , ""
[00:00:21] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:22] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:22] , "Team 1" , "0" , "NELS" , "EV_UsedAbility_1" , "" , ""
[00:00:22] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
