[00:00:33] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(22.34, -5.23, -89.81)" , ""
[00:00:34] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(40.26, 0.98, -97.42)" , ""
[00:00:35] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-7.50, -0.07, -158.11)" , ""
[00:00:35] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-8.79, -0.07, -159.11)" , ""
[00:00:35] , "Team 2" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-7.73, -0.07, -160.55)" , ""
[00:00:35] , "Team 2" , "2" , "Zarya" , "EV_PlayerPosition" , "(-5.33, -0.07, -161.03)" , ""
[00:00:35] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-6.66, -0.07, -162.01)" , ""
[00:00:35] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-6.41, -0.07, -159.58)" , ""
[00:00:35] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(34.54, -11.10, -101.94)" , ""
[00:00:35] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(32.19, -11.10, -101.14)" , ""
[00:00:35] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(35.96, -11.09, -104.35)" , ""
[00:00:35] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(40.64, -10.07, -108.80)" , ""
[00:00:35] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(31.76, -11.00, -99.74)" , ""
[00:00:36] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(43.30, 0.00, -103.93)" , ""
[00:00:37] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-7.50, -0.07, -158.11)" , ""
[00:00:37] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-8.79, -0.07, -159.11)" , ""
[00:00:37] , "Team 2" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-7.73, -0.07, -160.55)" , ""
[00:00:37] , "Team 2" , "2" , "Zarya" , "EV_PlayerPosition" , "(-5.33, -0.07, -161.03)" , ""
[00:00:37] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-6.66, -0.07, -162.01)" , ""
[00:00:37] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-6.41, -0.07, -159.58)" , ""
